Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2022/05/14/1mb/,20834,0,1300.0,1412.5395552942286,326.16690000000403,3129.2418,30720.0,70.11460632488577,0.0,1300,1800,1900,2000,2200,2300,2500,2600,2900,3000,3100
,Aggregated,20834,0,1300.0,1412.5395552942286,326.16690000000403,3129.2418,30720.0,70.11460632488577,0.0,1300,1800,1900,2000,2200,2300,2500,2600,2900,3000,3100
