Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2022/05/14/400kb/,1021,0,180.0,292.7235804113615,137.878299999997,1031.6739,435471.0,3.413910895948587,0.0,180,200,480,490,550,770,870,910,980,1000,1000
,Aggregated,1021,0,180.0,292.7235804113615,137.878299999997,1031.6739,435471.0,3.413910895948587,0.0,180,200,480,490,550,770,870,910,980,1000,1000
