Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652497168,10,,Aggregated,38.600000,0.000000,220,230,250,260,310,480,550,660,730,730,730,1318,0,220.0,249.1317477238244,170.17049999999756,727.9015999999991,435471.0
1652497169,10,,Aggregated,39.400000,0.000000,220,230,250,260,320,480,550,660,730,730,730,1357,0,220.0,250.27699454679464,170.17049999999756,727.9015999999991,435471.0
1652497170,10,,Aggregated,39.700000,0.000000,220,230,250,260,320,470,550,660,730,730,730,1404,0,220.0,249.0215938034189,170.17049999999756,727.9015999999991,435471.0
1652497171,10,,Aggregated,37.700000,0.000000,220,230,250,260,310,470,550,660,730,730,730,1437,0,220.0,248.18728670842034,167.81439999999748,727.9015999999991,435471.0
1652497172,10,,Aggregated,38.600000,0.000000,220,230,250,260,320,470,550,660,730,730,730,1487,0,220.0,248.38502730329523,167.81439999999748,727.9015999999991,435471.0
1652497173,10,,Aggregated,39.400000,0.000000,220,230,250,260,310,470,540,660,730,730,730,1527,0,220.0,247.64732645710546,167.81439999999748,727.9015999999991,435471.0
1652497174,10,,Aggregated,39.000000,0.000000,220,230,250,260,310,470,530,660,730,730,730,1566,0,220.0,246.96691264367817,167.81439999999748,727.9015999999991,435471.0
1652497175,10,,Aggregated,41.100000,0.000000,220,230,250,260,320,470,530,650,730,730,730,1604,0,220.0,248.48656571072323,167.81439999999748,727.9015999999991,435471.0
1652497176,10,,Aggregated,40.900000,0.000000,220,230,250,260,320,470,530,650,730,730,730,1645,0,220.0,248.82847568389076,167.81439999999748,727.9015999999991,435471.0
1652497177,10,,Aggregated,39.900000,0.000000,220,230,250,260,320,470,530,650,730,730,730,1675,0,220.0,248.99090841791065,167.81439999999748,727.9015999999991,435471.0
1652497178,10,,Aggregated,40.800000,0.000000,220,240,250,260,320,470,530,640,730,730,730,1714,0,220.0,250.18277514585793,167.81439999999748,727.9015999999991,435471.0
1652497179,10,,Aggregated,40.000000,0.000000,220,240,250,270,330,470,530,640,730,730,730,1744,0,220.0,250.89637241972505,167.81439999999748,727.9015999999991,435471.0
1652497180,10,,Aggregated,38.700000,0.000000,220,240,260,270,320,470,530,640,730,730,730,1780,0,220.0,251.06475303370812,167.81439999999748,727.9015999999991,435471.0
1652497181,10,,Aggregated,39.600000,0.000000,220,240,260,270,330,470,530,640,730,730,730,1820,0,220.0,252.11843945054977,167.81439999999748,727.9015999999991,435471.0
1652497182,10,,Aggregated,38.400000,0.000000,220,240,260,270,320,470,530,640,730,730,730,1867,0,220.0,251.23036427423702,167.81439999999748,727.9015999999991,435471.0
1652497183,10,,Aggregated,36.800000,0.000000,220,240,250,260,320,470,530,630,730,730,730,1904,0,220.0,250.37968161764738,167.81439999999748,727.9015999999991,435471.0
1652497184,10,,Aggregated,37.600000,0.000000,220,240,260,270,330,470,540,630,730,730,730,1934,0,220.0,252.40298117890418,167.81439999999748,727.9015999999991,435471.0
1652497185,10,,Aggregated,37.900000,0.000000,220,240,260,270,350,470,530,630,730,730,730,1963,0,220.0,253.91840626591986,167.81439999999748,727.9015999999991,435471.0
1652497186,10,,Aggregated,36.500000,0.000000,220,240,260,270,350,470,530,630,730,730,730,1993,0,220.0,253.99766427496263,167.81439999999748,727.9015999999991,435471.0
1652497187,10,,Aggregated,36.400000,0.000000,220,240,260,270,350,470,530,610,720,730,730,2043,0,220.0,254.1502732745964,167.81439999999748,727.9015999999991,435471.0
1652497188,10,,Aggregated,35.800000,0.000000,220,240,260,270,350,470,530,610,720,730,730,2083,0,220.0,253.54276769083071,167.81439999999748,727.9015999999991,435471.0
1652497189,10,,Aggregated,35.800000,0.000000,220,240,260,270,350,470,530,600,720,730,730,2121,0,220.0,252.94449834983502,167.81439999999748,727.9015999999991,435471.0
1652497190,10,,Aggregated,36.800000,0.000000,220,240,260,270,350,470,530,600,720,730,730,2170,0,220.0,252.8672603225806,167.81439999999748,727.9015999999991,435471.0
1652497191,10,,Aggregated,37.800000,0.000000,220,240,260,270,350,470,530,600,720,730,730,2209,0,220.0,252.92694377546408,167.81439999999748,727.9015999999991,435471.0
1652497192,10,,Aggregated,37.200000,0.000000,220,240,260,270,350,470,530,600,720,730,730,2238,0,220.0,253.26838105451304,167.81439999999748,727.9015999999991,435471.0
1652497193,10,,Aggregated,39.000000,0.000000,220,240,260,270,360,470,550,650,730,820,820,2258,0,220.0,255.46967046058458,167.81439999999748,818.6469999999986,435471.0
1652497194,10,,Aggregated,38.500000,0.000000,220,240,260,270,360,470,550,650,730,820,820,2306,0,220.0,255.3004571552473,167.81439999999748,818.6469999999986,435471.0
1652497195,10,,Aggregated,35.300000,0.000000,220,240,260,280,360,470,550,650,730,820,820,2347,0,220.0,255.4176885811677,167.81439999999748,818.6469999999986,435471.0
1652497196,10,,Aggregated,35.700000,0.000000,220,240,260,270,360,470,540,650,730,820,820,2387,0,220.0,254.81099258483457,167.81439999999748,818.6469999999986,435471.0
1652497197,10,,Aggregated,37.700000,0.000000,220,240,260,270,360,470,530,640,730,820,820,2426,0,220.0,254.35985403957122,167.81439999999748,818.6469999999986,435471.0
1652497198,10,,Aggregated,38.400000,0.000000,220,240,260,280,370,470,530,640,730,820,820,2449,0,220.0,255.76170314414037,167.81439999999748,818.6469999999986,435471.0
1652497199,10,,Aggregated,38.400000,0.000000,220,240,260,280,380,470,550,650,730,820,820,2483,0,220.0,257.0315884011275,167.81439999999748,818.6469999999986,435471.0
1652497200,10,,Aggregated,37.600000,0.000000,220,250,270,280,370,470,550,640,730,820,820,2516,0,220.0,257.7366799682033,167.81439999999748,818.6469999999986,435471.0
1652497201,10,,Aggregated,34.800000,0.000000,230,250,270,280,370,470,550,640,730,820,820,2542,0,230.0,257.9772789929186,167.81439999999748,818.6469999999986,435471.0
1652497202,10,,Aggregated,35.400000,0.000000,220,250,270,280,380,470,550,640,730,820,820,2592,0,220.0,258.08942488425873,167.81439999999748,818.6469999999986,435471.0
1652497203,10,,Aggregated,34.200000,0.000000,220,240,270,280,370,470,550,640,730,820,820,2641,0,220.0,257.04562453616006,167.81439999999748,818.6469999999986,435471.0
1652497204,10,,Aggregated,33.400000,0.000000,220,240,270,280,380,470,540,640,730,820,820,2680,0,220.0,257.03797966417864,167.81439999999748,818.6469999999986,435471.0
1652497205,10,,Aggregated,36.400000,0.000000,220,240,260,280,370,470,530,640,730,820,820,2729,0,220.0,255.85790010993009,167.81439999999748,818.6469999999986,435471.0
1652497206,10,,Aggregated,38.300000,0.000000,220,240,260,280,370,470,530,640,730,820,820,2784,0,220.0,254.54110854885036,160.0087000000059,818.6469999999986,435471.0
1652497207,10,,Aggregated,37.400000,0.000000,220,240,260,280,370,470,530,640,730,820,820,2825,0,220.0,254.43527819469014,160.0087000000059,818.6469999999986,435471.0
1652497208,10,,Aggregated,38.800000,0.000000,220,240,260,280,370,470,530,640,730,820,820,2870,0,220.0,253.81251860627177,160.0087000000059,818.6469999999986,435471.0
