Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2022/05/14/400kb/,14516,0,2000.0,2037.364028713143,515.8860999999888,6113.7157999999945,435471.0,48.57889597256046,0.0,2000,2300,2400,2600,2900,3200,3500,3700,4200,5100,6100
,Aggregated,14516,0,2000.0,2037.364028713143,515.8860999999888,6113.7157999999945,435471.0,48.57889597256046,0.0,2000,2300,2400,2600,2900,3200,3500,3700,4200,5100,6100
