Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2022/05/14/300kb/,25259,0,110.0,117.39269055386133,73.73760000000118,389.2426000000171,30801.0,84.5537593852892,0.0,110,110,120,120,130,160,280,300,340,390,390
,Aggregated,25259,0,110.0,117.39269055386133,73.73760000000118,389.2426000000171,30801.0,84.5537593852892,0.0,110,110,120,120,130,160,280,300,340,390,390
